timestamp,gpu_id,gpu_name,utilization_%,memory_used_mb,memory_total_mb,memory_util_%,temperature_c,power_w,python_processes
2025-08-23T12:12:45.963099,0,NVIDIA GeForce RTX 2060 SUPER,9,769,8192,9.38720703125,52,16.586,
2025-08-23T12:12:46.476745,0,NVIDIA GeForce RTX 2060 SUPER,9,769,8192,9.38720703125,52,16.416,
2025-08-23T12:12:46.984671,0,NVIDIA GeForce RTX 2060 SUPER,9,769,8192,9.38720703125,52,16.459,
2025-08-23T12:12:47.499167,0,NVIDIA GeForce RTX 2060 SUPER,8,769,8192,9.38720703125,51,16.54,
2025-08-23T12:12:48.017931,0,NVIDIA GeForce RTX 2060 SUPER,8,769,8192,9.38720703125,51,16.503,
2025-08-23T12:12:48.532029,0,NVIDIA GeForce RTX 2060 SUPER,9,769,8192,9.38720703125,51,16.472,
2025-08-23T12:12:49.039239,0,NVIDIA GeForce RTX 2060 SUPER,9,769,8192,9.38720703125,51,16.494,
2025-08-23T12:12:49.555980,0,NVIDIA GeForce RTX 2060 SUPER,9,783,8192,9.55810546875,51,16.771,
2025-08-23T12:12:50.060545,0,NVIDIA GeForce RTX 2060 SUPER,9,783,8192,9.55810546875,51,16.813,
2025-08-23T12:12:50.568188,0,NVIDIA GeForce RTX 2060 SUPER,12,783,8192,9.55810546875,51,16.488,
2025-08-23T12:12:51.080906,0,NVIDIA GeForce RTX 2060 SUPER,10,783,8192,9.55810546875,51,16.723,
2025-08-23T12:12:51.587790,0,NVIDIA GeForce RTX 2060 SUPER,10,783,8192,9.55810546875,51,16.342,
2025-08-23T12:12:52.095014,0,NVIDIA GeForce RTX 2060 SUPER,9,783,8192,9.55810546875,51,16.397,
2025-08-23T12:12:52.608751,0,NVIDIA GeForce RTX 2060 SUPER,9,783,8192,9.55810546875,51,16.237,
2025-08-23T12:12:53.121628,0,NVIDIA GeForce RTX 2060 SUPER,9,777,8192,9.48486328125,51,16.257,
2025-08-23T12:12:53.634975,0,NVIDIA GeForce RTX 2060 SUPER,9,829,8192,10.11962890625,51,17.297,
2025-08-23T12:12:54.142905,0,NVIDIA GeForce RTX 2060 SUPER,17,840,8192,10.25390625,51,17.132,
2025-08-23T12:12:54.650783,0,NVIDIA GeForce RTX 2060 SUPER,17,840,8192,10.25390625,51,16.353,
2025-08-23T12:12:55.158652,0,NVIDIA GeForce RTX 2060 SUPER,6,840,8192,10.25390625,51,15.746,
2025-08-23T12:12:55.667161,0,NVIDIA GeForce RTX 2060 SUPER,6,839,8192,10.24169921875,51,15.918,
2025-08-23T12:12:56.176012,0,NVIDIA GeForce RTX 2060 SUPER,0,843,8192,10.29052734375,51,15.697,
2025-08-23T12:12:56.686047,0,NVIDIA GeForce RTX 2060 SUPER,0,843,8192,10.29052734375,51,15.867,
2025-08-23T12:12:57.193267,0,NVIDIA GeForce RTX 2060 SUPER,9,843,8192,10.29052734375,51,15.657,
2025-08-23T12:12:57.697667,0,NVIDIA GeForce RTX 2060 SUPER,9,843,8192,10.29052734375,51,15.746,
2025-08-23T12:12:58.212490,0,NVIDIA GeForce RTX 2060 SUPER,0,841,8192,10.26611328125,51,16.654,
2025-08-23T12:12:58.720406,0,NVIDIA GeForce RTX 2060 SUPER,0,833,8192,10.16845703125,51,15.94,
2025-08-23T12:12:59.228189,0,NVIDIA GeForce RTX 2060 SUPER,5,833,8192,10.16845703125,51,15.757,
2025-08-23T12:12:59.736036,0,NVIDIA GeForce RTX 2060 SUPER,8,797,8192,9.72900390625,51,16.741,
2025-08-23T12:13:00.245987,0,NVIDIA GeForce RTX 2060 SUPER,8,800,8192,9.765625,51,16.094,
2025-08-23T12:13:00.753604,0,NVIDIA GeForce RTX 2060 SUPER,12,799,8192,9.75341796875,51,15.591,
2025-08-23T12:13:01.267503,0,NVIDIA GeForce RTX 2060 SUPER,12,797,8192,9.72900390625,51,16.764,
2025-08-23T12:13:01.782220,0,NVIDIA GeForce RTX 2060 SUPER,14,797,8192,9.72900390625,51,16.949,
2025-08-23T12:13:02.294403,0,NVIDIA GeForce RTX 2060 SUPER,14,794,8192,9.6923828125,51,16.816,
2025-08-23T12:13:02.810073,0,NVIDIA GeForce RTX 2060 SUPER,19,794,8192,9.6923828125,51,15.738,
2025-08-23T12:13:03.318065,0,NVIDIA GeForce RTX 2060 SUPER,19,794,8192,9.6923828125,51,15.297,
2025-08-23T12:13:03.826068,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,51,15.642,
2025-08-23T12:13:04.333462,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,51,15.715,
2025-08-23T12:13:04.841453,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,15.431,
2025-08-23T12:13:05.357057,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,15.79,
2025-08-23T12:13:05.864264,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,16.138,
2025-08-23T12:13:06.371729,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,15.647,
2025-08-23T12:13:06.886917,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,15.719,
2025-08-23T12:13:07.394710,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,15.845,
2025-08-23T12:13:07.902618,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,15.503,
2025-08-23T12:13:08.407545,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.151,
2025-08-23T12:13:08.919389,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,16.115,
2025-08-23T12:13:09.424436,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,16.195,
2025-08-23T12:13:09.932122,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,15.543,
2025-08-23T12:13:11.353311,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,15.969,
2025-08-23T12:13:11.861793,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,15.741,
2025-08-23T12:13:12.369890,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.029,
2025-08-23T12:13:12.884144,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.276,
2025-08-23T12:13:13.392059,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,15.829,
2025-08-23T12:13:13.900075,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,16.069,
2025-08-23T12:13:14.408150,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,51,16.133,
2025-08-23T12:13:14.915872,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,51,15.973,
2025-08-23T12:13:15.429123,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,51,16.295,
2025-08-23T12:13:15.936994,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.233,
2025-08-23T12:13:16.445016,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,15.978,
2025-08-23T12:13:16.953124,0,NVIDIA GeForce RTX 2060 SUPER,9,794,8192,9.6923828125,51,16.069,
2025-08-23T12:13:17.461206,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,51,16.149,
2025-08-23T12:13:17.969067,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,51,16.478,
2025-08-23T12:13:18.477183,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,51,16.522,
2025-08-23T12:13:18.985043,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,51,16.183,
2025-08-23T12:13:19.493041,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,51,16.365,
2025-08-23T12:13:20.000469,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,51,16.041,
2025-08-23T12:13:20.508171,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,51,16.048,
2025-08-23T12:13:21.015939,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,51,15.792,
2025-08-23T12:13:21.524356,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,15.507,
2025-08-23T12:13:22.032069,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,15.842,
2025-08-23T12:13:22.540152,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,16.167,
2025-08-23T12:13:23.048449,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,16.273,
2025-08-23T12:13:23.562063,0,NVIDIA GeForce RTX 2060 SUPER,10,794,8192,9.6923828125,50,16.045,
2025-08-23T12:13:24.072114,0,NVIDIA GeForce RTX 2060 SUPER,10,794,8192,9.6923828125,51,16.214,
2025-08-23T12:13:24.580135,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.531,
2025-08-23T12:13:25.087893,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,51,16.357,
2025-08-23T12:13:25.595837,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,50,16.065,
2025-08-23T12:13:26.103462,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,50,16.732,
2025-08-23T12:13:26.612819,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,16.42,
2025-08-23T12:13:27.121363,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,16.025,
2025-08-23T12:13:27.638255,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,50,15.702,
2025-08-23T12:13:28.149169,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,50,16.827,
2025-08-23T12:13:28.657617,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,50,16.041,
2025-08-23T12:13:29.165358,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,50,15.93,
2025-08-23T12:13:29.673138,0,NVIDIA GeForce RTX 2060 SUPER,3,794,8192,9.6923828125,50,16.038,
